Phenotype,Source
130643#Source of report of D61 other aplastic anaemias,Binary
130645#Source of report of D62 acute posthaemorrhagic anaemia,Binary
130647#Source of report of D63 anaemia in chronic DCE,Binary
130649#Source of report of D64 other anaemias,Binary
130651#Source of report of D65 disseminated intravascular coagulation defibrination syndrome,Binary
130653#Source of report of D66 hereditary factor viii deficiency,Binary
130657#Source of report of D68 other coagulation defects,Binary
130659#Source of report of D69 purpura and other haemorrhagic conditions,Binary
130661#Source of report of D70 agranulocytosis,Binary
130665#Source of report of D72 other disorders of white blood cells,Binary
130667#Source of report of D73 diseases of spleen,Binary
130671#Source of report of D75 other diseases of blood and blood forming organs,Binary
130673#Source of report of D76 certain diseases involving lymphoreticular tissue and reticulohistiocytic system,Binary
130677#Source of report of D80 immunodeficiency with predominantly antibody defects,Binary
130681#Source of report of D82 immunodeficiency associated with other major defects,Binary
130683#Source of report of D83 common variable immunodeficiency,Binary
130685#Source of report of D84 other immunodeficiencies,Binary
130687#Source of report of D86 sarcoidosis,Binary
130689#Source of report of D89 other disorders involving the immune mechanism not elsewhere classified,Binary
130693#Source of report of E01 iodine deficiency related thyroid disorders and allied conditions,Binary
130695#Source of report of E02 subclinical iodine deficiency hypothyroidism,Binary
130697#Source of report of E03 other hypothyroidism,Binary
130699#Source of report of E04 other non toxic goitre,Binary
130701#Source of report of E05 thyrotoxicosis hyperthyroidism,Binary
130703#Source of report of E06 thyroiditis,Binary
130705#Source of report of E07 other disorders of thyroid,Binary
130707#Source of report of E10 insulin dependent diabetes mellitus,Binary
130709#Source of report of E11 non insulin dependent diabetes mellitus,Binary
130713#Source of report of E13 other specified diabetes mellitus,Binary
130715#Source of report of E14 unspecified diabetes mellitus,Binary
130719#Source of report of E16 other disorders of pancreatic internal secretion,Binary
130721#Source of report of E20 hypoparathyroidism,Binary
130723#Source of report of E21 hyperparathyroidism and other disorders of parathyroid gland,Binary
130725#Source of report of E22 hyperfunction of pituitary gland,Binary
130727#Source of report of E23 hypofunction and other disorders of pituitary gland,Binary
130729#Source of report of E24 cushings syndrome,Binary
130733#Source of report of E26 hyperaldosteronism,Binary
130735#Source of report of E27 other disorders of adrenal gland,Binary
130737#Source of report of E28 ovarian dysfunction,Binary
130739#Source of report of E29 testicular dysfunction,Binary
130747#Source of report of E34 other endocrine disorders,Binary
130763#Source of report of E46 unspecified protein energy malnutrition,Binary
130771#Source of report of E53 deficiency of other b group vitamins,Binary
130775#Source of report of E55 vitamin d deficiency,Binary
130777#Source of report of E56 other vitamin deficiencies,Binary
130785#Source of report of E61 deficiency of other nutrient elements,Binary
130787#Source of report of E63 other nutritional deficiencies,Binary
130791#Source of report of E65 localised adiposity,Binary
130793#Source of report of E66 obesity,Binary
130799#Source of report of E70 disorders of aromatic amino acid metabolism,Binary
130803#Source of report of E72 other disorders of amino acid metabolism,Binary
130805#Source of report of E73 lactose intolerance,Binary
130807#Source of report of E74 other disorders of carbohydrate metabolism,Binary
130809#Source of report of E75 disorders of sphingolipid metabolism and other lipid storage disorders,Binary
130815#Source of report of E78 disorders of lipoprotein metabolism and other lipidaemias,Binary
130817#Source of report of E79 disorders of purine and pyrimidine metabolism,Binary
130819#Source of report of E80 disorders of porphyrin and bilirubin metabolism,Binary
130821#Source of report of E83 disorders of mineral metabolism,Binary
130823#Source of report of E84 cystic fibrosis,Binary
130825#Source of report of E85 amyloidosis,Binary
130827#Source of report of E86 volume depletion,Binary
130829#Source of report of E87 other disorders of fluid electrolyte and acid base balance,Binary
130831#Source of report of E88 other metabolic disorders,Binary
130833#Source of report of E89 postprocedural endocrine and metabolic disorders not elsewhere classified,Binary
130837#Source of report of F00 dementia in alzheimers disease,Binary
130839#Source of report of F01 vascular dementia,Binary
130841#Source of report of F02 dementia in other DCE,Binary
130843#Source of report of F03 unspecified dementia,Binary
130847#Source of report of F05 delirium not induced by alcohol and other psychoactive substances,Binary
130849#Source of report of F06 other mental disorders due to brain damage and dysfunction and to physical disease,Binary
130851#Source of report of F07 personality and behavioural disorders due to brain disease damage and dysfunction,Binary
130853#Source of report of F09 unspecified organic or symptomatic mental disorder,Binary
130855#Source of report of F10 mental and behavioural disorders due to use of alcohol,Binary
130869#Source of report of F17 mental and behavioural disorders due to use of tobacco,Binary
130875#Source of report of F20 schizophrenia,Binary
130879#Source of report of F22 persistent delusional disorders,Binary
130881#Source of report of F23 acute and transient psychotic disorders,Binary
130885#Source of report of F25 schizoaffective disorders,Binary
130889#Source of report of F29 unspecified nonorganic psychosis,Binary
130891#Source of report of F30 manic episode,Binary
130893#Source of report of F31 bipolar affective disorder,Binary
130895#Source of report of F32 depressive episode,Binary
130897#Source of report of F33 recurrent depressive disorder,Binary
130899#Source of report of F34 persistent mood affective disorders,Binary
130901#Source of report of F38 other mood affective disorders,Binary
130903#Source of report of F39 unspecified mood affective disorder,Binary
130905#Source of report of F40 phobic anxiety disorders,Binary
130907#Source of report of F41 other anxiety disorders,Binary
130909#Source of report of F42 obsessive compulsive disorder,Binary
130911#Source of report of F43 reaction to severe stress and adjustment disorders,Binary
130913#Source of report of F44 dissociative conversion disorders,Binary
130915#Source of report of F45 somatoform disorders,Binary
130917#Source of report of F48 other neurotic disorders,Binary
130951#Source of report of F70 mild mental retardation,Binary
130961#Source of report of F79 unspecified mental retardation,Binary
130991#Source of report of F99 mental disorder NOS,Binary
130999#Source of report of G03 meningitis due to other and unspecified causes,Binary
131001#Source of report of G04 encephalitis myelitis and encephalomyelitis,Binary
131003#Source of report of G05 encephalitis myelitis and encephalomyelitis in DCE,Binary
131005#Source of report of G06 intracranial and intraspinal abscess and granuloma,Binary
131009#Source of report of G08 intracranial and intraspinal phlebitis and thrombophlebitis,Binary
131011#Source of report of G09 sequelae of inflammatory diseases of central nervous system,Binary
131013#Source of report of G10 huntingtons disease,Binary
131015#Source of report of G11 hereditary ataxia,Binary
131017#Source of report of G12 spinal muscular atrophy and related syndromes,Binary
131021#Source of report of G14 postpolio syndrome,Binary
131023#Source of report of G20 parkinsons disease,Binary
131025#Source of report of G21 secondary parkinsonism,Binary
131029#Source of report of G23 other degenerative diseases of basal ganglia,Binary
131031#Source of report of G24 dystonia,Binary
131033#Source of report of G25 other extrapyramidal and movement disorders,Binary
131037#Source of report of G30 alzheimers disease,Binary
131039#Source of report of G31 other degenerative diseases of nervous system not elsewhere classified,Binary
131043#Source of report of G35 multiple sclerosis,Binary
131047#Source of report of G37 other demyelinating diseases of central nervous system,Binary
131049#Source of report of G40 epilepsy,Binary
131051#Source of report of G41 status epilepticus,Binary
131053#Source of report of G43 migraine,Binary
131055#Source of report of G44 other headache syndromes,Binary
131057#Source of report of G45 transient cerebral ischaemic attacks and related syndromes,Binary
131059#Source of report of G46 vascular syndromes of brain in cerebrovascular diseases,Binary
131061#Source of report of G47 sleep disorders,Binary
131063#Source of report of G50 disorders of trigeminal nerve,Binary
131065#Source of report of G51 facial nerve disorders,Binary
131067#Source of report of G52 disorders of other cranial nerves,Binary
131069#Source of report of G53 cranial nerve disorders in DCE,Binary
131071#Source of report of G54 nerve root and plexus disorders,Binary
131073#Source of report of G55 nerve root and plexus compressions in DCE,Binary
131075#Source of report of G56 mononeuropathies of upper limb,Binary
131077#Source of report of G57 mononeuropathies of lower limb,Binary
131079#Source of report of G58 other mononeuropathies,Binary
131081#Source of report of G59 mononeuropathy in DCE,Binary
131083#Source of report of G60 hereditary and idiopathic neuropathy,Binary
131085#Source of report of G61 inflammatory polyneuropathy,Binary
131087#Source of report of G62 other polyneuropathies,Binary
131089#Source of report of G63 polyneuropathy in DCE,Binary
131091#Source of report of G64 other disorders of peripheral nervous system,Binary
131093#Source of report of G70 myasthenia gravis and other myoneural disorders,Binary
131095#Source of report of G71 primary disorders of muscles,Binary
131097#Source of report of G72 other myopathies,Binary
131101#Source of report of G80 infantile cerebral palsy,Binary
131103#Source of report of G81 hemiplegia,Binary
131105#Source of report of G82 paraplegia and tetraplegia,Binary
131107#Source of report of G83 other paralytic syndromes,Binary
131109#Source of report of G90 disorders of autonomic nervous system,Binary
131111#Source of report of G91 hydrocephalus,Binary
131115#Source of report of G93 other disorders of brain,Binary
131117#Source of report of G94 other disorders of brain in DCE,Binary
131119#Source of report of G95 other diseases of spinal cord,Binary
131121#Source of report of G96 other disorders of central nervous system,Binary
131123#Source of report of G97 postprocedural disorders of nervous system not elsewhere classified,Binary
131125#Source of report of G98 other disorders of nervous system not elsewhere classified,Binary
131127#Source of report of G99 other disorders of nervous system in DCE,Binary
131129#Source of report of H00 hordeolum and chalazion,Binary
131131#Source of report of H01 other inflammation of eyelid,Binary
131133#Source of report of H02 other disorders of eyelid,Binary
131135#Source of report of H03 disorders of eyelid in DCE,Binary
131137#Source of report of H04 disorders of lachrymal system,Binary
131139#Source of report of H05 disorders of orbit,Binary
131141#Source of report of H06 disorders of lachrymal system and orbit in DCE,Binary
131143#Source of report of H10 conjunctivitis,Binary
131145#Source of report of H11 other disorders of conjunctiva,Binary
131149#Source of report of H15 disorders of sclera,Binary
131151#Source of report of H16 keratitis,Binary
131153#Source of report of H17 corneal scars and opacities,Binary
131155#Source of report of H18 other disorders of cornea,Binary
131157#Source of report of H19 disorders of sclera and cornea in DCE,Binary
131159#Source of report of H20 iridocyclitis,Binary
131161#Source of report of H21 other disorders of iris and ciliary body,Binary
131163#Source of report of H22 disorders of iris and ciliary body in DCE,Binary
131165#Source of report of H25 senile cataract,Binary
131167#Source of report of H26 other cataract,Binary
131169#Source of report of H27 other disorders of lens,Binary
131173#Source of report of H30 chorioretinal inflammation,Binary
131175#Source of report of H31 other disorders of choroid,Binary
131179#Source of report of H33 retinal detachments and breaks,Binary
131181#Source of report of H34 retinal vascular occlusions,Binary
131183#Source of report of H35 other retinal disorders,Binary
131185#Source of report of H36 retinal disorders in DCE,Binary
131187#Source of report of H40 glaucoma,Binary
131191#Source of report of H43 disorders of vitreous body,Binary
131193#Source of report of H44 disorders of globe,Binary
131197#Source of report of H46 optic neuritis,Binary
131199#Source of report of H47 other disorders of optic 2nd nerve and visual pathways,Binary
131203#Source of report of H49 paralytic strabismus,Binary
131205#Source of report of H50 other strabismus,Binary
131207#Source of report of H51 other disorders of binocular movement,Binary
131209#Source of report of H52 disorders of refraction and accommodation,Binary
131211#Source of report of H53 visual disturbances,Binary
131213#Source of report of H54 blindness and low vision,Binary
131215#Source of report of H55 nystagmus and other irregular eye movements,Binary
131217#Source of report of H57 other disorders of eye and adnexa,Binary
131219#Source of report of H58 other disorders of eye and adnexa in DCE,Binary
131221#Source of report of H59 postprocedural disorders of eye and adnexa not elsewhere classified,Binary
131223#Source of report of H60 otitis externa,Binary
131225#Source of report of H61 other disorders of external ear,Binary
131227#Source of report of H62 disorders of external ear in DCE,Binary
131229#Source of report of H65 nonsuppurative otitis media,Binary
131231#Source of report of H66 suppurative and unspecified otitis media,Binary
131235#Source of report of H68 eustachian salpingitis and obstruction,Binary
131237#Source of report of H69 other disorders of eustachian tube,Binary
131239#Source of report of H70 mastoiditis and related conditions,Binary
131241#Source of report of H71 cholesteatoma of middle ear,Binary
131243#Source of report of H72 perforation of tympanic membrane,Binary
131245#Source of report of H73 other disorders of tympanic membrane,Binary
131247#Source of report of H74 other disorders of middle ear and mastoid,Binary
131251#Source of report of H80 otosclerosis,Binary
131253#Source of report of H81 disorders of vestibular function,Binary
131257#Source of report of H83 other diseases of inner ear,Binary
131259#Source of report of H90 conductive and sensorineural hearing loss,Binary
131261#Source of report of H91 other hearing loss,Binary
131263#Source of report of H92 otalgia and effusion of ear,Binary
131265#Source of report of H93 other disorders of ear not elsewhere classified,Binary
131269#Source of report of H95 postprocedural disorders of ear and mastoid process not elsewhere classified,Binary
131271#Source of report of I00 rheumatic fever without mention of heart involvement,Binary
131277#Source of report of I05 rheumatic mitral valve diseases,Binary
131279#Source of report of I06 rheumatic aortic valve diseases,Binary
131281#Source of report of I07 rheumatic tricuspid valve diseases,Binary
131283#Source of report of I08 multiple valve diseases,Binary
131285#Source of report of I09 other rheumatic heart diseases,Binary
131287#Source of report of I10 essential primary hypertension,Binary
131289#Source of report of I11 hypertensive heart disease,Binary
131291#Source of report of I12 hypertensive renal disease,Binary
131293#Source of report of I13 hypertensive heart and renal disease,Binary
131295#Source of report of I15 secondary hypertension,Binary
131297#Source of report of I20 angina pectoris,Binary
131299#Source of report of I21 acute myocardial infarction,Binary
131301#Source of report of I22 subsequent myocardial infarction,Binary
131303#Source of report of I23 certain current complications following acute myocardial infarction,Binary
131305#Source of report of I24 other acute ischaemic heart diseases,Binary
131307#Source of report of I25 chronic ischaemic heart disease,Binary
131309#Source of report of I26 pulmonary embolism,Binary
131311#Source of report of I27 other pulmonary heart diseases,Binary
131313#Source of report of I28 other diseases of pulmonary vessels,Binary
131315#Source of report of I30 acute pericarditis,Binary
131317#Source of report of I31 other diseases of pericardium,Binary
131321#Source of report of I33 acute and subacute endocarditis,Binary
131323#Source of report of I34 nonrheumatic mitral valve disorders,Binary
131325#Source of report of I35 nonrheumatic aortic valve disorders,Binary
131327#Source of report of I36 nonrheumatic tricuspid valve disorders,Binary
131329#Source of report of I37 pulmonary valve disorders,Binary
131331#Source of report of I38 endocarditis valve unspecified,Binary
131335#Source of report of I40 acute myocarditis,Binary
131339#Source of report of I42 cardiomyopathy,Binary
131341#Source of report of I43 cardiomyopathy in DCE,Binary
131343#Source of report of I44 atrioventricular and left bundle branch block,Binary
131345#Source of report of I45 other conduction disorders,Binary
131347#Source of report of I46 cardiac arrest,Binary
131349#Source of report of I47 paroxysmal tachycardia,Binary
131351#Source of report of I48 atrial fibrillation and flutter,Binary
131353#Source of report of I49 other cardiac arrhythmias,Binary
131355#Source of report of I50 heart failure,Binary
131357#Source of report of I51 complications and ill defined descriptions of heart disease,Binary
131361#Source of report of I60 subarachnoid haemorrhage,Binary
131363#Source of report of I61 intracerebral haemorrhage,Binary
131365#Source of report of I62 other nontraumatic intracranial haemorrhage,Binary
131367#Source of report of I63 cerebral infarction,Binary
131369#Source of report of I64 stroke not specified as haemorrhage or infarction,Binary
131371#Source of report of I65 occlusion and stenosis of precerebral arteries not resulting in cerebral infarction,Binary
131373#Source of report of I66 occlusion and stenosis of cerebral arteries not resulting in cerebral infarction,Binary
131375#Source of report of I67 other cerebrovascular diseases,Binary
131377#Source of report of I68 cerebrovascular disorders in DCE,Binary
131379#Source of report of I69 sequelae of cerebrovascular disease,Binary
131381#Source of report of I70 atherosclerosis,Binary
131383#Source of report of I71 aortic aneurysm and dissection,Binary
131385#Source of report of I72 other aneurysm,Binary
131387#Source of report of I73 other peripheral vascular diseases,Binary
131389#Source of report of I74 arterial embolism and thrombosis,Binary
131391#Source of report of I77 other disorders of arteries and arterioles,Binary
131393#Source of report of I78 diseases of capillaries,Binary
131395#Source of report of I79 disorders of arteries arterioles and capillaries in DCE,Binary
131397#Source of report of I80 phlebitis and thrombophlebitis,Binary
131399#Source of report of I81 portal vein thrombosis,Binary
131401#Source of report of I82 other venous embolism and thrombosis,Binary
131403#Source of report of I83 varicose veins of lower extremities,Binary
131405#Source of report of I84 haemorrhoids,Binary
131407#Source of report of I85 oesophageal varices,Binary
131409#Source of report of I86 varicose veins of other sites,Binary
131411#Source of report of I87 other disorders of veins,Binary
131413#Source of report of I88 nonspecific lymphadenitis,Binary
131415#Source of report of I89 other non infective disorders of lymphatic vessels and lymph nodes,Binary
131417#Source of report of I95 hypotension,Binary
131419#Source of report of I97 postprocedural disorders of circulatory system not elsewhere classified,Binary
131421#Source of report of I98 other disorders of circulatory system in DCE,Binary
131423#Source of report of I99 other and unspecified disorders of circulatory system,Binary
131441#Source of report of J10 influenza due to identified influenza virus,Binary
131443#Source of report of J11 influenza virus not identified,Binary
131447#Source of report of J13 pneumonia due to streptococcus pneumoniae,Binary
131449#Source of report of J14 pneumonia due to haemophilus influenzae,Binary
131455#Source of report of J17 pneumonia in DCE,Binary
131457#Source of report of J18 pneumonia organism unspecified,Binary
131465#Source of report of J30 vasomotor and allergic rhinitis,Binary
131467#Source of report of J31 chronic rhinitis nasopharyngitis and pharyngitis,Binary
131469#Source of report of J32 chronic sinusitis,Binary
131471#Source of report of J33 nasal polyp,Binary
131473#Source of report of J34 other disorders of nose and nasal sinuses,Binary
131475#Source of report of J35 chronic diseases of tonsils and adenoids,Binary
131477#Source of report of J36 peritonsillar abscess,Binary
131479#Source of report of J37 chronic laryngitis and laryngotracheitis,Binary
131481#Source of report of J38 diseases of vocal cords and larynx not elsewhere classified,Binary
131483#Source of report of J39 other diseases of upper respiratory tract,Binary
131487#Source of report of J41 simple and mucopurulent chronic bronchitis,Binary
131489#Source of report of J42 unspecified chronic bronchitis,Binary
131491#Source of report of J43 emphysema,Binary
131493#Source of report of J44 other chronic obstructive pulmonary disease,Binary
131495#Source of report of J45 asthma,Binary
131497#Source of report of J46 status asthmaticus,Binary
131499#Source of report of J47 bronchiectasis,Binary
131503#Source of report of J61 pneumoconiosis due to asbestos and other mineral fibres,Binary
131509#Source of report of J64 unspecified pneumoconiosis,Binary
131515#Source of report of J67 hypersensitivity pneumonitis due to organic dust,Binary
131519#Source of report of J69 pneumonitis due to solids and liquids,Binary
131521#Source of report of J70 respiratory conditions due to other external agents,Binary
131523#Source of report of J80 adult respiratory distress syndrome,Binary
131525#Source of report of J81 pulmonary oedema,Binary
131527#Source of report of J82 pulmonary eosinophilia not elsewhere classified,Binary
131529#Source of report of J84 other interstitial pulmonary diseases,Binary
131531#Source of report of J85 abscess of lung and mediastinum,Binary
131533#Source of report of J86 pyothorax,Binary
131535#Source of report of J90 pleural effusion not elsewhere classified,Binary
131537#Source of report of J91 pleural effusion in conditions classified elsewhere,Binary
131539#Source of report of J92 pleural plaque,Binary
131541#Source of report of J93 pneumothorax,Binary
131543#Source of report of J94 other pleural conditions,Binary
131545#Source of report of J95 postprocedural respiratory disorders not elsewhere classified,Binary
131547#Source of report of J96 respiratory failure not elsewhere classified,Binary
131549#Source of report of J98 other respiratory disorders,Binary
131551#Source of report of J99 respiratory disorders in DCE,Binary
131553#Source of report of K00 disorders of tooth development and eruption,Binary
131555#Source of report of K01 embedded and impacted teeth,Binary
131557#Source of report of K02 dental caries,Binary
131559#Source of report of K03 other diseases of hard tissues of teeth,Binary
131561#Source of report of K04 diseases of pulp and periapical tissues,Binary
131563#Source of report of K05 gingivitis and periodontal diseases,Binary
131565#Source of report of K06 other disorders of gingiva and edentulous alveolar ridge,Binary
131567#Source of report of K07 dentofacial anomalies including malocclusion,Binary
131569#Source of report of K08 other disorders of teeth and supporting structures,Binary
131571#Source of report of K09 cysts of oral region not elsewhere classified,Binary
131573#Source of report of K10 other diseases of jaws,Binary
131575#Source of report of K11 diseases of salivary glands,Binary
131577#Source of report of K12 stomatitis and related lesions,Binary
131579#Source of report of K13 other diseases of lip and oral mucosa,Binary
131581#Source of report of K14 diseases of tongue,Binary
131583#Source of report of K20 oesophagitis,Binary
131585#Source of report of K21 gastro oesophageal reflux disease,Binary
131587#Source of report of K22 other diseases of oesophagus,Binary
131589#Source of report of K23 disorders of oesophagus in DCE,Binary
131591#Source of report of K25 gastric ulcer,Binary
131593#Source of report of K26 duodenal ulcer,Binary
131595#Source of report of K27 peptic ulcer site unspecified,Binary
131597#Source of report of K28 gastrojejunal ulcer,Binary
131599#Source of report of K29 gastritis and duodenitis,Binary
131601#Source of report of K30 dyspepsia,Binary
131603#Source of report of K31 other diseases of stomach and duodenum,Binary
131607#Source of report of K36 other appendicitis,Binary
131609#Source of report of K37 unspecified appendicitis,Binary
131611#Source of report of K38 other diseases of appendix,Binary
131613#Source of report of K40 inguinal hernia,Binary
131615#Source of report of K41 femoral hernia,Binary
131617#Source of report of K42 umbilical hernia,Binary
131619#Source of report of K43 ventral hernia,Binary
131621#Source of report of K44 diaphragmatic hernia,Binary
131623#Source of report of K45 other abdominal hernia,Binary
131625#Source of report of K46 unspecified abdominal hernia,Binary
131627#Source of report of K50 crohns disease regional enteritis,Binary
131629#Source of report of K51 ulcerative colitis,Binary
131631#Source of report of K52 other non infective gastro enteritis and colitis,Binary
131633#Source of report of K55 vascular disorders of intestine,Binary
131635#Source of report of K56 paralytic ileus and intestinal obstruction without hernia,Binary
131637#Source of report of K57 diverticular disease of intestine,Binary
131639#Source of report of K58 irritable bowel syndrome,Binary
131641#Source of report of K59 other functional intestinal disorders,Binary
131643#Source of report of K60 fissure and fistula of anal and rectal regions,Binary
131645#Source of report of K61 abscess of anal and rectal regions,Binary
131647#Source of report of K62 other diseases of anus and rectum,Binary
131649#Source of report of K63 other diseases of intestine,Binary
131651#Source of report of K64 haemorrhoids and perianal venous thrombosis,Binary
131653#Source of report of K65 peritonitis,Binary
131655#Source of report of K66 other disorders of peritoneum,Binary
131659#Source of report of K70 alcoholic liver disease,Binary
131661#Source of report of K71 toxic liver disease,Binary
131663#Source of report of K72 hepatic failure not elsewhere classified,Binary
131665#Source of report of K73 chronic hepatitis not elsewhere classified,Binary
131667#Source of report of K74 fibrosis and cirrhosis of liver,Binary
131669#Source of report of K75 other inflammatory liver diseases,Binary
131671#Source of report of K76 other diseases of liver,Binary
131675#Source of report of K80 cholelithiasis,Binary
131677#Source of report of K81 cholecystitis,Binary
131679#Source of report of K82 other diseases of gallbladder,Binary
131681#Source of report of K83 other diseases of biliary tract,Binary
131685#Source of report of K86 other diseases of pancreas,Binary
131689#Source of report of K90 intestinal malabsorption,Binary
131691#Source of report of K91 postprocedural disorders of digestive system not elsewhere classified,Binary
131693#Source of report of K92 other diseases of digestive system,Binary
131705#Source of report of L04 acute lymphadenitis,Binary
131711#Source of report of L10 pemphigus,Binary
131713#Source of report of L11 other acantholytic disorders,Binary
131715#Source of report of L12 pemphigoid,Binary
131717#Source of report of L13 other bullous disorders,Binary
131721#Source of report of L20 atopic dermatitis,Binary
131723#Source of report of L21 seborrhoeic dermatitis,Binary
131725#Source of report of L22 diaper napkin dermatitis,Binary
131727#Source of report of L23 allergic contact dermatitis,Binary
131729#Source of report of L24 irritant contact dermatitis,Binary
131731#Source of report of L25 unspecified contact dermatitis,Binary
131735#Source of report of L27 dermatitis due to substances taken internally,Binary
131737#Source of report of L28 lichen simplex chronicus and prurigo,Binary
131739#Source of report of L29 pruritus,Binary
131743#Source of report of L40 psoriasis,Binary
131745#Source of report of L41 parapsoriasis,Binary
131747#Source of report of L42 pityriasis rosea,Binary
131749#Source of report of L43 lichen planus,Binary
131751#Source of report of L44 other papulosquamous disorders,Binary
131755#Source of report of L50 urticaria,Binary
131757#Source of report of L51 erythema multiforme,Binary
131759#Source of report of L52 erythema nodosum,Binary
